time,seconds_elapsed,z,y,x
1728303509759825000,265.1638249511719,-9.804324187400937,-0.15375481155393644,-0.14822433029520324
1728303509769887000,265.1738869628906,-9.804327694532274,-0.15444851117283104,-0.14725469981175845
1728303509779948000,265.18394799804685,-9.804330032619834,-0.15487818956067784,-0.14665280666216277
1728303509790009000,265.19400903320314,-9.804313081485033,-0.15545339563274754,-0.14718253875784576
1728303509800070000,265.2040698242188,-9.804326525488495,-0.155228975759726,-0.1465367242681328
1728303509810131000,265.214130859375,-9.804323602879046,-0.155190159852989,-0.1467469512190204
1728303509820192800,265.22419287109375,-9.804314835050702,-0.155668426622916,-0.14683492176341822
1728303509830253800,265.23425390625,-9.804301391047238,-0.1554838455699384,-0.14793511069081722
1728303509840315000,265.24431494140623,-9.804294376784563,-0.1548850394265726,-0.14902666878718882
1728303509850376000,265.2543759765625,-9.804306651744247,-0.1549663062355481,-0.14813312661410308
1728303509860437000,265.26443701171877,-9.804328863576053,-0.15485575853316114,-0.14674740787674673
1728303509870498000,265.274498046875,-9.804341138535737,-0.15517890780661253,-0.14558765251552686
1728303509880559900,265.28455981445313,-9.80435516706109,-0.15513161633247508,-0.14471113454247825
1728303509890621000,265.2946208496094,-9.804350490885973,-0.1557915963448584,-0.14428843388468957
1728303509900682000,265.3046818847656,-9.804368611064552,-0.1561213580221869,-0.14271754957246593
1728303509910743000,265.31474291992185,-9.804371533674,-0.15670863812454044,-0.1418579736010637
1728303509920804000,265.32480419921876,-9.804372118195891,-0.15761782539132982,-0.14082947080354205
1728303509930865000,265.3348649902344,-9.804369195586442,-0.15809755346598103,-0.14049129749089478
1728303509940927000,265.3449270019531,-9.80435692062676,-0.15875192572148517,-0.14059959843726827
1728303509950987800,265.35498779296876,-9.804341138535737,-0.16007953932974486,-0.1402047904334031
1728303509961048800,265.365048828125,-9.804304898178577,-0.16074485310437156,-0.14194134103558026
1728303509971110000,265.37510986328124,-9.80426105903685,-0.16143963043550028,-0.14417374886330217
1728303509981171000,265.3851708984375,-9.804203191369771,-0.16368578366078435,-0.14558086658171376
1728303509991232000,265.3952319335938,-9.804157598662377,-0.1660567323095165,-0.14595594697180203
1728303510001293800,265.4052939453125,-9.804103822648525,-0.16798826662767677,-0.14734709080294706
1728303510011355000,265.41535498046875,-9.804045370459557,-0.1700384588894434,-0.1488993252136279
1728303510021416000,265.425416015625,-9.8039804885298,-0.17252751749251036,-0.15028906253897584
1728303510031477000,265.43547705078123,-9.803946001738309,-0.17498170571159571,-0.14968972667264752
1728303510041538000,265.4455380859375,-9.8039068387717,-0.17700513783060012,-0.14989082046900876
1728303510051599000,265.45559912109377,-9.803892225724459,-0.17833625857019797,-0.14926719954479484
1728303510061661000,265.4656608886719,-9.803896901899575,-0.1797214110519737,-0.1472760257275775
1728303510071722000,265.47572192382813,-9.803884626939892,-0.18072043202668428,-0.1468677371876314
1728303510081782800,265.48578271484377,-9.803877612677216,-0.181042302658502,-0.14693913105656392
1728303510091843800,265.49584375,-9.803865922239423,-0.18066177890831603,-0.14817223478178493
1728303510101905000,265.50590478515625,-9.803881119808555,-0.1793917589724995,-0.14870852448241784
1728303510111966000,265.51596606445315,-9.803856569889188,-0.1792819967214018,-0.15044439009800553
1728303510122027800,265.5260278320313,-9.8038729365021,-0.1785713825003244,-0.15023300323649308
1728303510132088800,265.5360888671875,-9.803872351980209,-0.17774822954917324,-0.15126383498841897
1728303510142150000,265.54614990234376,-9.803856569889188,-0.17710450655184684,-0.15303262562607414
1728303510152211000,265.5562109375,-9.803843125885724,-0.1761400819664821,-0.15496813286645336
1728303510162272000,265.56627197265624,-9.8038331890136,-0.17509356858823447,-0.1567957136197947
1728303510172333000,265.5763330078125,-9.803832019969821,-0.1742968835189007,-0.15774831990320234
1728303510182395000,265.5863947753906,-9.803825005707145,-0.17307112284991888,-0.15950204996904357
1728303510192456000,265.5964560546875,-9.803844294929505,-0.17125188979981465,-0.16028958361754192
1728303510202517000,265.60651708984375,-9.80386942937076,-0.16923454036172478,-0.16088811576627193
1728303510212577800,265.6165778808594,-9.803897486421466,-0.16739788125278426,-0.16110338421845807
1728303510222638800,265.6266389160156,-9.803905669727921,-0.16551363840876146,-0.16253796533253043
1728303510232700000,265.63669995117186,-9.803938402953744,-0.16305727649889887,-0.16306907653454691
1728303510242761700,265.64676171875,-9.803954769566655,-0.1614433019636199,-0.1636831350459717
1728303510252822800,265.6568227539062,-9.803977565920352,-0.16057203555442393,-0.16318428214574232
1728303510262883800,265.6668837890625,-9.803996270620821,-0.15972683516824618,-0.16287865026267245
1728303510272945000,265.67694482421877,-9.803986918270587,-0.15937055081017315,-0.16380299856597558
1728303510283006000,265.687005859375,-9.803996270620821,-0.15871013240637258,-0.16387431023651733
1728303510293068000,265.6970681152344,-9.804007961058616,-0.15822114331303164,-0.16365182659225538
1728303510303128800,265.70712890625,-9.80401731340885,-0.15798311503976584,-0.16332624789969993
1728303510313190000,265.7171899414063,-9.804034264543652,-0.15698705320712178,-0.16324295353041962
1728303510323251000,265.7272509765625,-9.804038940718769,-0.15595568259907885,-0.16397550558866933
1728303510333312000,265.73731201171876,-9.804059983506798,-0.15517890780661253,-0.16344543556626887
1728303510343372800,265.7473728027344,-9.804082195338607,-0.15416280783293768,-0.16307567067211493
1728303510353433900,265.75743383789063,-9.80411200595498,-0.15265393763994797,-0.1626972110148519
1728303510363496000,265.76749584960936,-9.804117266651987,-0.15108566540991886,-0.16384804328409955
1728303510373556700,265.777556640625,-9.8041505843997,-0.14943710361844859,-0.16334995756885035
1728303510383617800,265.78761767578123,-9.80416987362206,-0.14847416773727162,-0.16308248400539158
1728303510393678800,265.79767895507814,-9.804201437804103,-0.14713741184133103,-0.16239663889938966
1728303510403740000,265.8077399902344,-9.804220727026461,-0.1461756632702425,-0.1620928884461522
1728303510413802000,265.8178020019531,-9.804246445989609,-0.14532477292879484,-0.16129971050815656
1728303510423863000,265.82786303710935,-9.804252291208504,-0.14469634796530007,-0.16151423004167154
1728303510433923800,265.837923828125,-9.80426281260252,-0.14387514037606305,-0.16161213745819403
1728303510443985000,265.8479848632812,-9.804266904255748,-0.14290398465581236,-0.1622058290350251
1728303510454046000,265.8580458984375,-9.804256967383623,-0.14239222660823725,-0.16325186748923734
1728303510464107000,265.86810693359377,-9.804249953120946,-0.14175539000942372,-0.1642236168645322
1728303510474169000,265.8781691894531,-9.804249368599057,-0.1412525733201299,-0.1646918919634074
1728303510484230000,265.88822998046874,-9.80422364963591,-0.14100195955992675,-0.16644688240457325
1728303510494291000,265.898291015625,-9.804193254497648,-0.14077687296662478,-0.16838979663327336
1728303510504351700,265.9083518066406,-9.804195592585206,-0.14027793786800466,-0.16868982075946404
1728303510514412800,265.91841284179685,-9.804234171029925,-0.14002479422399775,-0.16663319875691085
1728303510524473900,265.92847387695315,-9.80429905295968,-0.1395692142099142,-0.16315854491628706
1728303510534536000,265.9385358886719,-9.804404851421713,-0.13843241046601906,-0.1576741769547574
1728303510544597000,265.9485969238281,-9.804508896318078,-0.13807328569688834,-0.15140061311060563
1728303510554658000,265.95865795898436,-9.804631645914911,-0.13788825711933894,-0.14340637208684348
1728303510564718800,265.96871875,-9.804699450454116,-0.13829862801851703,-0.1382827363296412
1728303510574780000,265.97877978515623,-9.804735690811276,-0.13877094910484739,-0.13523236318253912
1728303510584841000,265.98884106445314,-9.804752641946077,-0.1394252848277334,-0.13330529497694224
