time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1728471750001028600,385.25002856445315,211.07890628185123,2.9057344138740935,14.752389636676783,46.82276445725186,166.48890612926334,82.31209564208984,5.019520415536812,2.937507758423454,16.85388495723458,6.36645459630193
1728471751001033700,386.25003369140626,211.01177209988236,2.9414799537409535,15.32125736697993,46.82277224097532,166.42177194729447,82.31209564208984,4.976763853039923,3.0093784381270576,16.85396896128955,6.088664922970555
1728471752001038300,387.2500383300781,211.29517066851258,2.8791856624575476,13.597252707352494,46.82277896125367,166.7051705159247,84.3069839477539,4.958314410056258,3.0396801219564695,16.854051463283316,6.685859516303619
1728471753001043200,388.2500432128906,211.67186744790524,2.767153106992451,11.124419955642573,46.82277737460467,167.08186729531735,92.28426361083984,4.95598831222111,3.0434711895985793,16.854150959584373,7.88907577829685
1728471754001047800,389.2500478515625,212.24294691719115,2.701606461863647,9.572878227804981,46.82276455367662,167.65294676460326,99.30658721923828,4.967979799963157,3.023857427185823,16.854265097882447,9.016971145969265
1728471755001052400,390.2500524902344,213.00986210163683,2.6313469070266677,8.269328559556163,46.822744099664654,168.41986194904894,103.99374389648438,4.984594788836218,2.996389798389998,16.854392571036115,10.208493541779413
1728471756001055200,391.25005517578126,213.77075216546655,2.534017948954114,9.104105017953067,46.82271297850816,169.18075201287866,109.88028717041016,4.761436259356186,3.339649948853474,16.854536183260265,11.613225757405798
1728471757001060600,392.250060546875,215.02915693167597,2.5491038625800675,9.250521609371686,46.822677607012615,170.43915677908808,109.92536163330078,4.742841311153197,3.3660055451539965,16.854678602650544,11.528139086048064
1728471758001065000,393.25006494140627,215.88625752739608,2.550310405525978,7.818380785681094,46.822644223991624,171.2962573748082,108.38045501708984,4.739368102199899,3.3708940986982907,16.854814727516274,10.807663574011306
1728471759001069000,394.2500690917969,216.4099129093811,2.540024376579667,9.439227731406215,46.822611087926596,171.8199127567932,108.7981948852539,4.739661884693492,3.370481011899129,16.85495436431087,11.171083984566152
1728471760001074000,395.2500739746094,217.35236553382128,2.5131541433018056,8.79920785815227,46.82257737752026,172.7623653812334,108.59516906738281,4.743235071467915,3.365450651782848,16.85509982405415,11.934883453194976
1728471761001078300,396.2500783691406,218.36553032323718,2.4499385496518693,7.995668653333177,46.822544098610905,173.7755301706493,105.33049011230469,4.743108948354121,3.365628401477486,16.855259315096582,12.712778334025296
1728471762001081900,397.25008178710937,219.24687582906336,2.448983416115738,7.46049476977142,46.82252432890739,174.65687567647547,103.99365997314453,4.7396595683114775,3.3704842692560213,16.855439563842896,13.557439139411326
1728471763001086700,398.25008666992187,220.02119171898812,2.4163161463229796,6.943122817755295,46.82249248521768,175.43119156640023,104.30917997242125,4.754565394564853,3.34942456872747,16.85562536812871,14.401376376513957
1728471764001091800,399.250091796875,220.9182021152228,2.3908814556418756,6.527362805083702,46.8224614618452,176.32820196263492,103.10498824924771,4.776611196443862,3.3179093584358164,16.855821241888144,15.170347797585428
1728471765001096200,400.25009619140627,221.57885894551873,2.3964008441014957,6.757884927298708,46.822437156678625,176.98885879293084,100.73243467586398,4.806204671472118,3.274894454590624,16.856013634872742,14.75137240030135
1728471766001099500,401.250099609375,221.54711495619267,2.419361910582325,7.092875717945137,46.82242150939047,176.95711480360478,97.59087242465202,4.841992826778288,3.221745256567694,16.856201309725016,14.345810182035072
1728471767001104600,402.2501047363281,222.26787097100168,2.3873290686633006,6.871027895854652,46.82241102915061,177.6778708184138,95.36559936274317,4.870834098710764,3.1779729727650823,16.856393614195632,14.762648799347152
1728471768001113300,403.25011328125,222.69368958473206,2.3586135504166066,6.589942219347867,46.82240907691819,178.10368943214417,93.52330780029297,4.872459716296704,3.1754800181790896,16.856593540205843,15.378891428753782
1728471769001113900,404.25011376953125,223.35443554539233,2.3295692556656893,6.247008482791833,46.82240417931838,178.76443539280444,93.9738540649414,4.887090377022078,3.1529168526313915,16.856801797991977,15.987263088738288
1728471770001117700,405.25011767578127,224.3344067921862,2.348316728693685,6.338030074991489,46.82239389421719,179.7444066395983,93.9738540649414,4.903139354102696,3.127900495066656,16.857007905354187,15.755567267715104
1728471771001122600,406.2501225585938,224.6771491188556,2.377226307961662,6.713541237449658,46.82238065654909,180.0871489662677,97.57085418701172,4.9131479725759375,3.112155849626075,16.857202365353718,14.98382691872348
1728471772001126700,407.2501267089844,224.6260741762817,2.4072759031700834,7.087905630924761,46.82236263201687,180.0360740236938,102.7067642211914,4.926803771511918,3.090492133917311,16.85739105146244,14.298827955118371
1728471773001131500,408.2501315917969,224.95925898104906,2.4181463684668842,7.159903114071346,46.822332303875996,180.36925882846117,106.98719787597656,4.962570775755762,3.0327262204827674,16.857572259895647,14.220226052790013
1728471774001135000,409.25013500976564,225.6888173110783,2.3963373711584985,6.960662700419116,46.82228665207994,181.09881715849042,110.5998306274414,5.00998593918272,2.9537396503382407,16.85775573831681,14.72722931060964
1728471775001139700,410.2501396484375,225.83289435505867,2.3789713208703067,7.0645038860512255,46.82222754676277,181.24289420247078,116.49237823486328,5.053099422734755,2.87936160576377,16.85793587778753,14.866091522301929
1728471776001144300,411.2501442871094,225.98774646781385,2.3232286046467276,7.091071359573039,46.822156041467025,181.39774631522596,118.34623718261719,5.104082038614547,2.7879891635157414,16.858107130731064,15.024480171513884
1728471777001148700,412.2501486816406,226.2242277842015,2.2848897490625935,7.2679683179107055,46.822080442828664,181.6342276316136,130.62254333496094,5.157931969955769,2.6870569078635165,16.858272819632127,15.004124592893673
1728471778001153800,413.2501538085937,226.07526072394103,2.250685422482075,7.520219606317129,46.821996350524785,181.48526057135314,130.64341735839844,5.217314591807701,2.569857093867143,16.858425991727934,14.963924158041186
1728471779001158000,414.2501579589844,225.2313048671931,2.192784141949029,7.51890417923453,46.82189768891576,180.6413047146052,134.28778076171875,5.245632634680824,2.511548385908652,16.858573754823176,15.195277128437759
1728471780001162000,415.25016186523436,223.93678442575037,2.1391236432164966,7.27704067433117,46.82179619811737,179.34678427316248,134.47296142578125,5.286104764312671,2.425207919643121,16.858719201852033,15.547174725408388
1728471781001166300,416.25016625976565,222.59418228361756,2.123684661339677,6.968807385895939,46.821692838719656,178.00418213102967,134.9105224609375,5.298169583910002,2.3987363533576924,16.85886867365698,16.013820528104276
1728471782001171500,417.25017138671876,221.05067999474704,2.138429231329443,6.676051598649133,46.82159475505175,176.46067984215915,129.06356811523438,5.3257068581130005,2.336960310796268,16.859028941050678,16.46965131383006
1728471783001175800,418.25017578125,219.51524958666414,2.1646237282465868,6.38674429314014,46.82149903525315,174.92524943407625,129.28176879882812,5.36328326175918,2.2493842906276944,16.859204646619016,16.941896740844847
1728471784001179600,419.2501796875,218.38827698025852,2.1912627844935035,6.147805982273602,46.82140753732043,173.79827682767063,124.2037124633789,5.3419890810355115,2.2994977040402116,16.85938921941311,17.310310027604427
1728471785001184500,420.2501845703125,216.73354552313685,2.218935984763085,6.077474481229296,46.821324269860455,172.14354537054896,121.10623168945312,5.276612454842546,2.445791903288046,16.85958183971877,17.266773538626897
